Размер массива,Число процессов,Тип случая,Время последовательной сортировки (с),Время параллельной сортировки (с),Ускорение

100000,4,Типовой,0.025957,0.009398,2.761842
100000,4,Лучший,0.016343,0.005662,2.886360
100000,4,Худший,0.016819,0.005749,2.925721
500000,4,Типовой,0.138716,0.045617,3.040862
500000,4,Лучший,0.089608,0.031423,2.851638
500000,4,Худший,0.098254,0.037178,2.642789
1000000,4,Типовой,0.288552,0.088436,3.262828
1000000,4,Лучший,0.183716,0.061611,2.981889
1000000,4,Худший,0.187958,0.062214,3.021175
5000000,4,Типовой,1.521563,0.474708,3.205263
5000000,4,Лучший,1.009948,0.377394,2.676110
5000000,4,Худший,1.021127,0.353465,2.888908
