x,u_initial,u_final
0.000000,0.000000,0.000000
0.010000,0.062791,0.000000
0.020000,0.125333,0.000000
0.030000,0.187381,0.000000
0.040000,0.248690,0.000000
0.050000,0.309017,0.000000
0.060000,0.368125,0.000000
0.070000,0.425779,0.000000
0.080000,0.481754,0.000000
0.090000,0.535827,0.000000
0.100000,0.587785,0.000000
0.110000,0.637424,0.000000
0.120000,0.684547,0.000000
0.130000,0.728969,0.000000
0.140000,0.770513,0.000000
0.150000,0.809017,0.000000
0.160000,0.844328,0.000000
0.170000,0.876307,0.000000
0.180000,0.904827,0.000000
0.190000,0.929776,0.000000
0.200000,0.951057,0.000000
0.210000,0.968583,0.000000
0.220000,0.982287,0.000000
0.230000,0.992115,0.000000
0.240000,0.998027,0.000000
0.250000,1.000000,0.000000
0.260000,0.998027,0.000000
0.270000,0.992115,0.000000
0.280000,0.982287,0.000000
0.290000,0.968583,0.000000
0.300000,0.951057,0.000000
0.310000,0.929776,0.000000
0.320000,0.904827,0.000000
0.330000,0.876307,0.000000
0.340000,0.844328,0.000000
0.350000,0.809017,0.000000
0.360000,0.770513,0.000000
0.370000,0.728969,0.000000
0.380000,0.684547,0.000000
0.390000,0.637424,0.000000
0.400000,0.587785,0.000000
0.410000,0.535827,0.000000
0.420000,0.481754,0.000000
0.430000,0.425779,0.000000
0.440000,0.368125,0.000000
0.450000,0.309017,0.000000
0.460000,0.248690,0.000000
0.470000,0.187381,0.000000
0.480000,0.125333,0.000000
0.490000,0.062791,0.000000
0.500000,0.000000,0.000000
0.510000,-0.062791,0.000000
0.520000,-0.125333,0.000000
0.530000,-0.187381,0.000000
0.540000,-0.248690,0.000000
0.550000,-0.309017,0.000000
0.560000,-0.368125,0.000000
0.570000,-0.425779,0.000000
0.580000,-0.481754,0.000000
0.590000,-0.535827,0.000000
0.600000,-0.587785,0.000000
0.610000,-0.637424,0.000001
0.620000,-0.684547,0.000001
0.630000,-0.728969,0.000002
0.640000,-0.770513,0.000003
0.650000,-0.809017,0.000006
0.660000,-0.844328,0.000009
0.670000,-0.876307,0.000015
0.680000,-0.904827,0.000025
0.690000,-0.929776,0.000040
0.700000,-0.951057,0.000064
0.710000,-0.968583,0.000099
0.720000,-0.982287,0.000152
0.730000,-0.992115,0.000230
0.740000,-0.998027,0.000344
0.750000,-1.000000,0.000506
0.760000,-0.998027,0.000737
0.770000,-0.992115,0.001058
0.780000,-0.982287,0.001500
0.790000,-0.968583,0.002100
0.800000,-0.951057,0.002906
0.810000,-0.929776,0.003973
0.820000,-0.904827,0.005369
0.830000,-0.876307,0.007173
0.840000,-0.844328,0.009475
0.850000,-0.809017,0.012379
0.860000,-0.770513,0.016000
0.870000,-0.728969,0.020463
0.880000,-0.684547,0.025901
0.890000,-0.637424,0.032455
0.900000,-0.587785,0.040267
0.910000,-0.535827,0.049480
0.920000,-0.481754,0.060230
0.930000,-0.425779,0.072644
0.940000,-0.368125,0.086835
0.950000,-0.309017,0.102896
0.960000,-0.248690,0.120895
0.970000,-0.187381,0.140872
0.980000,-0.125333,0.162836
0.990000,-0.062791,0.186761
1.000000,-0.000000,0.212583
